date,teams,neutral,tournament_flag,hm_variant,HM_total,Book_total_source,Book_total,odds,final_total,season,season_P95,edge,result,profit_units
2022-03-09,New Mexico @ Nevada,0,0,TD_ratings.xml_wayback_snapshot_formula,156.34452943565026,CONSENSUS_PROXY,151.0,-111.0,151.0,2022,151.78956557906344,5.344529435650259,P,0.0
2022-03-10,Syracuse @ Duke,0,0,TD_ratings.xml_wayback_snapshot_formula,151.96422137435223,CONSENSUS_PROXY,146.5,-110.0,167.0,2022,151.78956557906344,5.464221374352235,W,0.9090909090909092
2022-11-11,Michigan State @ Gonzaga,0,0,TD_ratings.xml_wayback_snapshot_formula,156.65686533138378,CONSENSUS_PROXY,142.5,-105.0,127.0,2023,155.07252654868734,14.156865331383784,L,-1.0
2022-12-31,UNC Asheville @ Winthrop,0,0,TD_ratings.xml_wayback_snapshot_formula,155.87089479942512,CONSENSUS_PROXY,149.5,-110.0,122.0,2023,155.07252654868734,6.370894799425116,L,-1.0
2023-01-08,Oakland @ Wright State,0,0,TD_ratings.xml_wayback_snapshot_formula,156.59844863356318,CONSENSUS_PROXY,151.5,-110.0,148.0,2023,155.07252654868734,5.09844863356318,L,-1.0
2023-01-08,UMBC @ Bryant,0,0,TD_ratings.xml_wayback_snapshot_formula,163.9261127035503,CONSENSUS_PROXY,158.5,-110.0,154.0,2023,155.07252654868734,5.426112703550302,L,-1.0
2023-01-09,Colgate @ Army,0,0,TD_ratings.xml_wayback_snapshot_formula,156.4263825083894,CONSENSUS_PROXY,151.0,-109.0,152.0,2023,155.07252654868734,5.426382508389395,W,0.9174311926605505
2023-01-10,Buffalo @ Miami (OH),0,0,TD_ratings.xml_wayback_snapshot_formula,157.7311588349945,CONSENSUS_PROXY,152.5,-110.0,171.0,2023,155.07252654868734,5.231158834994488,W,0.9090909090909092
2023-01-12,Pepperdine @ San Diego,0,0,TD_ratings.xml_wayback_snapshot_formula,162.3156130448591,CONSENSUS_PROXY,157.0,-110.0,181.0,2023,155.07252654868734,5.315613044859106,W,0.9090909090909092
2023-01-12,Youngstown State @ Detroit Mercy,0,0,TD_ratings.xml_wayback_snapshot_formula,159.05380851115527,CONSENSUS_PROXY,154.0,-109.0,163.0,2023,155.07252654868734,5.0538085111552675,W,0.9174311926605505
2023-01-14,Youngstown State @ Oakland,0,0,TD_ratings.xml_wayback_snapshot_formula,157.52061519763663,CONSENSUS_PROXY,152.0,-110.0,154.0,2023,155.07252654868734,5.52061519763663,W,0.9090909090909092
2023-03-19,Pittsburgh @ Xavier,1,1,TD_ratings.xml_wayback_snapshot_formula,157.0334521779597,CONSENSUS_PROXY,147.5,-110.0,157.0,2023,155.07252654868734,9.533452177959703,W,0.9090909090909092
2025-01-23,Samford @ Chattanooga,0,0,TD_ratings.xml_wayback_snapshot_formula,160.4682843076357,CONSENSUS_PROXY,154.5,-110.0,142.0,2025,160.29772109325933,5.968284307635713,L,-1.0
2025-01-25,Northern Iowa @ Indiana State,0,0,TD_ratings.xml_wayback_snapshot_formula,161.76853661701284,CONSENSUS_PROXY,154.5,-110.0,130.0,2025,160.29772109325933,7.268536617012842,L,-1.0
2025-02-23,Temple @ UAB,0,0,TD_ratings.xml_wayback_snapshot_formula,166.11051445696802,CONSENSUS_PROXY,159.5,-105.0,144.0,2025,160.29772109325933,6.610514456968019,L,-1.0
2025-03-07,South Dakota @ North Dakota State,0,0,TD_ratings.xml_wayback_snapshot_formula,169.61095904322252,CONSENSUS_PROXY,164.0,-110.0,169.0,2025,160.29772109325933,5.610959043222522,W,0.9090909090909092
2025-03-09,Winthrop @ High Point,0,0,TD_ratings.xml_wayback_snapshot_formula,164.18139109179486,CONSENSUS_PROXY,157.5,-115.0,150.0,2025,160.29772109325933,6.681391091794865,L,-1.0
